('Epochs; batch_size; layer1; layer2; func1; func2; func_out', accuracy)
('30; 500; 80; 64; relu; sigmoid; sigmoid', 0.70061976)
('30; 1000; 128; 32; sigmoid; relu; softmax', 0.7005198)
('20; 1000; 112; 48; sigmoid; sigmoid; softmax', 0.70041984)
('30; 1000; 80; 16; sigmoid; relu; softmax', 0.7003199)
('30; 1000; 112; 48; sigmoid; relu; softmax', 0.70012)
('20; 750; 112; 32; relu; relu; softmax', 0.6997201)
('30; 1000; 112; 64; sigmoid; sigmoid; sigmoid', 0.6996201)
('10; 1000; 64; 48; sigmoid; relu; sigmoid', 0.6992203)
('10; 750; 128; 32; relu; relu; softmax', 0.6981208)
('10; 1000; 80; 16; relu; relu; softmax', 0.6980208)
('30; 1000; 96; 48; sigmoid; relu; softmax', 0.69732106)
('10; 1000; 64; 48; relu; relu; softmax', 0.69732106)
('30; 750; 80; 48; sigmoid; relu; softmax', 0.6970212)
('10; 750; 96; 48; sigmoid; relu; sigmoid', 0.69662136)
('20; 500; 128; 64; sigmoid; sigmoid; softmax', 0.69642144)
('20; 500; 64; 64; relu; relu; softmax', 0.6957217)
('20; 1000; 128; 64; relu; relu; softmax', 0.6955218)
('10; 250; 96; 64; sigmoid; relu; softmax', 0.6945222)
('20; 750; 128; 48; sigmoid; relu; softmax', 0.69442225)
('20; 500; 128; 48; relu; relu; softmax', 0.6943223)
('30; 1000; 96; 64; sigmoid; sigmoid; sigmoid', 0.6940224)
('10; 1000; 64; 64; relu; relu; softmax', 0.69392246)
('10; 1000; 96; 32; sigmoid; relu; softmax', 0.6928229)
('30; 500; 96; 32; sigmoid; relu; softmax', 0.6928229)
('30; 1000; 96; 48; sigmoid; relu; sigmoid', 0.6927229)
('10; 500; 64; 48; relu; relu; softmax', 0.692523)
('30; 750; 112; 48; sigmoid; relu; sigmoid', 0.6920232)
('30; 750; 64; 32; sigmoid; sigmoid; sigmoid', 0.6919232)
('20; 250; 112; 32; sigmoid; relu; softmax', 0.6915234)
('10; 1000; 128; 64; relu; relu; softmax', 0.69112355)
('10; 250; 128; 32; relu; relu; softmax', 0.69092363)
('30; 1000; 80; 64; relu; sigmoid; softmax', 0.6907237)
('20; 1000; 80; 48; sigmoid; relu; softmax', 0.6903239)
('10; 1000; 112; 64; sigmoid; relu; sigmoid', 0.690124)
('30; 750; 112; 16; sigmoid; relu; sigmoid', 0.6895242)
('20; 250; 64; 48; relu; relu; softmax', 0.68932426)
('20; 1000; 64; 32; relu; relu; softmax', 0.68842465)
('20; 1000; 64; 48; relu; relu; softmax', 0.68762493)
('10; 1000; 80; 32; relu; relu; softmax', 0.687525)
('30; 750; 112; 48; sigmoid; sigmoid; sigmoid', 0.687425)
('20; 1000; 80; 32; relu; relu; softmax', 0.68692523)
('20; 250; 112; 64; relu; sigmoid; sigmoid', 0.6867253)
('20; 1000; 96; 48; relu; relu; softmax', 0.6865254)
('10; 1000; 64; 64; relu; sigmoid; softmax', 0.68642545)
('20; 250; 64; 32; relu; sigmoid; softmax', 0.68622553)
('30; 750; 64; 64; sigmoid; sigmoid; sigmoid', 0.6860256)
('20; 750; 64; 48; relu; sigmoid; softmax', 0.68562573)
('10; 1000; 128; 48; sigmoid; relu; sigmoid', 0.6855258)
('20; 750; 80; 16; sigmoid; relu; softmax', 0.6855258)
('30; 750; 96; 16; sigmoid; sigmoid; softmax', 0.6854258)
('20; 750; 96; 64; sigmoid; relu; softmax', 0.68532586)
('20; 500; 64; 32; sigmoid; sigmoid; softmax', 0.685026)
('30; 250; 80; 48; relu; sigmoid; sigmoid', 0.68362653)
('10; 1000; 128; 32; sigmoid; relu; softmax', 0.68332666)
('10; 750; 80; 64; sigmoid; sigmoid; softmax', 0.68332666)
('30; 500; 128; 32; sigmoid; relu; softmax', 0.68312675)
('20; 250; 128; 48; relu; relu; softmax', 0.6828269)
('10; 500; 112; 64; sigmoid; relu; softmax', 0.6823271)
('10; 250; 96; 16; sigmoid; sigmoid; softmax', 0.6817273)
('30; 750; 96; 48; sigmoid; relu; sigmoid', 0.68092763)
('30; 250; 80; 64; relu; sigmoid; softmax', 0.68092763)
('30; 750; 80; 16; sigmoid; relu; softmax', 0.68062776)
('30; 750; 112; 64; sigmoid; sigmoid; sigmoid', 0.68002796)
('10; 500; 96; 64; relu; sigmoid; softmax', 0.68002796)
('10; 1000; 96; 48; sigmoid; relu; sigmoid', 0.67962813)
('20; 750; 64; 64; relu; sigmoid; sigmoid', 0.6795282)
('30; 1000; 64; 32; sigmoid; relu; softmax', 0.6794282)
('10; 500; 112; 64; relu; sigmoid; sigmoid', 0.67912835)
('30; 750; 64; 48; sigmoid; sigmoid; sigmoid', 0.6790284)
('10; 750; 80; 16; sigmoid; relu; softmax', 0.67892843)
('20; 500; 128; 48; sigmoid; relu; softmax', 0.6787285)
('10; 1000; 64; 16; relu; relu; softmax', 0.67862856)
('20; 750; 80; 48; relu; sigmoid; softmax', 0.67842865)
('30; 1000; 96; 64; sigmoid; sigmoid; softmax', 0.67822874)
('20; 750; 64; 16; relu; relu; softmax', 0.677429)
('30; 500; 112; 64; sigmoid; sigmoid; softmax', 0.6772291)
('10; 500; 80; 48; sigmoid; relu; softmax', 0.6772291)
('30; 750; 80; 32; sigmoid; relu; sigmoid', 0.6772291)
('20; 1000; 112; 64; sigmoid; relu; sigmoid', 0.67712915)
('30; 500; 80; 48; relu; sigmoid; sigmoid', 0.67712915)
('30; 500; 96; 32; sigmoid; sigmoid; softmax', 0.6767293)
('20; 250; 80; 48; relu; sigmoid; softmax', 0.6763295)
('20; 500; 112; 48; sigmoid; relu; softmax', 0.6761295)
('10; 1000; 112; 64; relu; relu; softmax', 0.6754298)
('20; 500; 112; 16; sigmoid; sigmoid; sigmoid', 0.67532986)
('10; 250; 112; 48; sigmoid; sigmoid; softmax', 0.67503)
('30; 1000; 96; 64; sigmoid; relu; softmax', 0.67503)
('10; 750; 128; 64; sigmoid; relu; sigmoid', 0.67493004)
('30; 750; 96; 64; sigmoid; sigmoid; sigmoid', 0.67493004)
('20; 750; 128; 16; sigmoid; relu; sigmoid', 0.6747301)
('20; 500; 112; 64; sigmoid; relu; sigmoid', 0.6739304)
('10; 1000; 96; 48; relu; relu; softmax', 0.6730308)
('10; 250; 128; 48; sigmoid; sigmoid; softmax', 0.67293084)
('30; 500; 128; 48; sigmoid; relu; sigmoid', 0.67293084)
('30; 1000; 128; 64; sigmoid; relu; softmax', 0.6727309)
('20; 500; 80; 64; relu; sigmoid; softmax', 0.67263097)
('10; 750; 64; 16; relu; relu; softmax', 0.67243105)
('30; 500; 64; 48; sigmoid; relu; sigmoid', 0.6721311)
('30; 750; 128; 32; sigmoid; sigmoid; sigmoid', 0.6719312)
